#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Nov 30 00:18:12 EST 2017,0,0,BroadcastingClearanceManagerFactoryMethodTest, , ,BroadcastingClearanceManagerFactoryMethodTest- ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase WaitingAvatarsAnimationTestCase ,
1,Thu Nov 30 00:18:41 EST 2017,0,0,WaitingAvatarsAnimationTestCase, , ,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase+ ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase ,
2,Thu Nov 30 00:20:38 EST 2017,0,0,BroadcastingClearanceManagerFactoryMethodTest, , ,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase ,
3,Thu Nov 30 00:23:44 EST 2017,3,3,BroadcastingClearanceManagerFactoryMethodTest,BroadcastingClearanceManagerFactoryMethodTest+ , ,WaitingAvatarsAnimationTestCase ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase ,
4,Thu Nov 30 00:23:54 EST 2017,7,4,WaitingAvatarsAnimationTestCase,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase+ , , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase ,
5,Thu Nov 30 14:55:11 EST 2017,30,23,Assignment12Suite,BroadcastingClearanceManagerFactoryMethodTest DefineCallCommandObjectTestCase+ EnvironmentFactoryMethodTest+ ProceedAllCommandObjectTestCase+ RotateLeftArmCommandObjectTestCase+ RotateRightArmCommandObjectTestCase+ SleepCommandObjectTestCase+ WaitingAvatarsAnimationTestCase , ,DefineCallCommandTestCase+ LockstepAvatarsAnimationTestCase+ ParserCreatesDefineCallCommandObjectTestCase+ ParserCreatesProceedAllCommandObjectTestCase+ ParserCreatesRotateLeftArmCommandObjectTestCase+ ParserCreatesRotateRightArmCommandObjectTestCase+ ParserCreatesSleepCommandObjectTestCase+ ParserCreatesThreadCommandObjectTestCase+ ParsingExceptionTestCase+ ProceedAllCommandTestCase+ RotateLeftArmCommandTestCase+ RotateRightArmCommandTestCase+ ScanningExceptionTestCase+ SleepCommandTestCase+ SwingTextFieldFactoryTestCase+ ThreadCommandObjectTestCase+ ThreadCommandTestCase+ UndoRedoTestCase+ , ,
6,Thu Nov 30 15:28:31 EST 2017,61,31,Assignment12Suite,BroadcastingClearanceManagerFactoryMethodTest DefineCallCommandTestCase+ EnvironmentFactoryMethodTest ParserCreatesDefineCallCommandObjectTestCase+ ParserCreatesProceedAllCommandObjectTestCase+ ParserCreatesSleepCommandObjectTestCase+ ParserCreatesThreadCommandObjectTestCase+ ProceedAllCommandObjectTestCase ProceedAllCommandTestCase+ RotateLeftArmCommandObjectTestCase RotateRightArmCommandObjectTestCase SleepCommandObjectTestCase SleepCommandTestCase+ ThreadCommandObjectTestCase+ ThreadCommandTestCase+ WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase- LockstepAvatarsAnimationTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParsingExceptionTestCase RotateLeftArmCommandTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SwingTextFieldFactoryTestCase UndoRedoTestCase , ,
7,Fri Dec 01 17:04:00 EST 2017,61,0,ParserSuiteA12,BroadcastingClearanceManagerFactoryMethodTest DefineCallCommandTestCase EnvironmentFactoryMethodTest ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateRightArmCommandObjectTestCase SleepCommandObjectTestCase SleepCommandTestCase ThreadCommandObjectTestCase ThreadCommandTestCase WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase LockstepAvatarsAnimationTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParsingExceptionTestCase RotateLeftArmCommandTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SwingTextFieldFactoryTestCase UndoRedoTestCase , ,
8,Fri Dec 01 17:04:02 EST 2017,61,0,ParserSuiteA12,BroadcastingClearanceManagerFactoryMethodTest DefineCallCommandTestCase EnvironmentFactoryMethodTest ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateRightArmCommandObjectTestCase SleepCommandObjectTestCase SleepCommandTestCase ThreadCommandObjectTestCase ThreadCommandTestCase WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase LockstepAvatarsAnimationTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParsingExceptionTestCase RotateLeftArmCommandTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SwingTextFieldFactoryTestCase UndoRedoTestCase , ,
9,Fri Dec 01 17:04:03 EST 2017,61,0,ParserSuiteA12,BroadcastingClearanceManagerFactoryMethodTest DefineCallCommandTestCase EnvironmentFactoryMethodTest ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateRightArmCommandObjectTestCase SleepCommandObjectTestCase SleepCommandTestCase ThreadCommandObjectTestCase ThreadCommandTestCase WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase LockstepAvatarsAnimationTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParsingExceptionTestCase RotateLeftArmCommandTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SwingTextFieldFactoryTestCase UndoRedoTestCase , ,
